标题,价格,价格区间,品牌,笔记本类型,省份,城市,销量,店铺
2019Apple苹果 12 英寸 MacBook 512GB超轻薄i7笔记本电脑13Air,2311.36,3000元以下,苹果,轻薄本,广东,广州,200.0,MacFans倶楽部 苹果原装笔记本电脑
Panasonic松下 商务坚固型 CFSZ6 i5 i7笔记本电脑办公汽修轻薄,582.87,3000元以下,其他品牌,轻薄本,广西,贺州,300.0,勇缘本本
NEC VK23TG翻转触屏PC平板二合一超级本HZ550轻薄手提笔记本电脑,793.87,3000元以下,其他品牌,轻薄本,广东,广州,200.0,广电数码商城
Lenovo联想 Thinkbook 14 G2触屏笔记本电脑办公商务本金属本i7,2400.0,3000元以下,联想,其他类型,广东,广州,28.0,百星奇数码
HP惠普i7轻薄便携学生上网课女生办公商务本游戏独显笔记本电脑,558.0,3000元以下,惠普,轻薄本,广东,广州,25.0,奇峰电脑商城
酷睿i7双屏 设计师专用笔记本电脑cad绘图3d渲染建模ps视频剪辑游戏本适用于华硕灵耀x联想华为Pro鼠标,4212.87,3000-5000元,联想,游戏本,广东,深圳,55.0,家友数码通讯专营店
Xiaomi小米 笔记本 AIR133寸125寸轻薄便携学生工作游戏本电脑,1744.87,3000元以下,小米,轻薄本,广东,广州,100.0,小米笔记本电脑商行
Sony索尼VAIO I5 116寸windows轻薄便携商务办公游戏笔记本电脑,1589.0,3000元以下,其他品牌,轻薄本,广东,佛山,66.0,数码一号店
ThinkPadT470i77500U联想笔记本电脑T440P商务T490T480T430T460,988.0,3000元以下,联想,其他类型,广东,广州,200.0,Win Win数码二手笔记本电脑
HP惠普 暗影精灵光影精灵34567学生办公暗夜游戏笔记本电脑,1999.0,3000元以下,惠普,游戏本,上海,未知,200.0,品牌电竞本店
联想ThinkPad E14 AI 2024 i5 13500H BRCD 0ACD酷睿笔记本电脑I7,4028.0,3000-5000元,联想,其他类型,上海,未知,42.0,ThinkPad官方悦立店
DeeQ HL140C 14寸玫瑰金笔记本电脑J4105轻薄便携式手提商务办公,860.0,3000元以下,其他品牌,轻薄本,上海,未知,9.0,鸿泰电子科技
Lenovo联想小新Pro16学生 小新Pro14设计剪辑办公2023笔记本电脑,3018.0,3000-5000元,联想,其他类型,福建,厦门,1000.0,3C数码正品科技
Huawei华为 笔记本电脑 Matebook D1616S 最新款全面屏轻薄商务,3769.0,3000-5000元,华为,轻薄本,上海,未知,28.0,HUAWEI商城
Samsung三星 笔记本电脑BOOK GO 5G插卡版学生商务轻薄办公14寸,1550.0,3000元以下,其他品牌,轻薄本,广东,深圳,79.0,盈信数码科技
联想ThinkPad Thinkbook14 16 2024款AIPC电脑Ultra7联想笔记本,4799.0,3000-5000元,联想,其他类型,北京,未知,46.0,Thinkpad品牌平价店
联想ThinkPad E16 2024款 AI PC AYCD 02CD I5笔记本电脑I7 03CD,4490.0,3000-5000元,联想,其他类型,上海,未知,33.0,ThinkPad官方悦立店
华硕无双无畏1415pro无畏16笔记本电脑无畏pro14独显3050游戏本,2281.87,3000元以下,华硕,游戏本,湖北,武汉,100.0,鑫宇科技数码品牌店
联想小新Pro16 笔记本酷睿i5设计独显学生办公锐龙版旗舰轻薄电脑,3118.0,3000-5000元,联想,轻薄本,福建,厦门,32.0,3C数码正品科技
火影T6AT5A13代17RTX40604050满血独显直连电竞游戏笔记本电脑,3879.0,3000-5000元,其他品牌,游戏本,上海,未知,12.0,博创科技数码品牌店
HP惠普 暗影精灵暗影9Pro光影精灵8pro锐龙电竞游戏本笔记本电脑,3800.0,3000-5000元,惠普,游戏本,安徽,合肥,75.0,华中无双数码
2024年新款156英寸笔记本电脑官方正品英特尔轻薄办公手提商务便携学生超薄4K全新游戏本女生绘图设计,698.0,3000元以下,其他品牌,轻薄本,浙江,杭州,5.0,天天特卖工厂店
机械革命极光Pro旷世G16蛟龙16K独显4060满血游戏笔记本电脑,4593.87,3000-5000元,机械革命,游戏本,江苏,南京,33.0,扬帆电脑科技
ASUS华硕金属高档小型13英寸很轻i5i7数字键盘发光办公用商务小屏长续航全能超轻薄便携笔记本电脑超极本推荐,4536.0,3000-5000元,华硕,轻薄本,四川,成都,87.0,华开云享电脑专营店
MECHREVO机械革命蛟龙16PRO RTX4070电竞游戏本笔记本电脑25k屏,6849.0,5000-7000元,机械革命,游戏本,上海,未知,200.0,德翔数码
MECHREVO机械革命蛟龙15K翼龙15pro16K锐龙R7高性能游戏本电脑,4188.0,3000-5000元,机械革命,游戏本,河南,郑州,200.0,百补游戏本直销店
华硕无畏15i 无畏Pro1516独显高性能轻薄游戏办公手提笔记本电脑,3049.0,3000-5000元,华硕,轻薄本,江苏,南京,75.0,电脑正品商城
笔记本电脑联想ThinkPad T460 T470 T480 T480S T490S 轻薄本14寸,980.0,3000元以下,联想,轻薄本,广东,广州,70.0,广州粤新二手数码企业店
ThinkPad 联想 E490超薄E14E15办公E590E580笔记本E570电脑E480,2400.0,3000元以下,联想,其他类型,安徽,合肥,200.0,华南科技直销店
Asus华硕 笔记本电脑轻薄便捷办公编程手提电脑学生i7大型游戏本,798.0,3000元以下,华硕,轻薄本,广东,广州,15.0,竞宇数码科技
联想ThinkPad X13 2024 2GCD AI PC I5 1340P笔记本电脑R7 7840U,4598.0,3000-5000元,联想,其他类型,上海,未知,28.0,ThinkPad官方悦立店
英特尔酷睿新款超薄笔记本电脑165英寸高清大屏幕多功能商务娱乐游戏工作电脑学生学习笔记本轻薄系统便携,1106.0,3000元以下,其他品牌,轻薄本,浙江,杭州,25.0,天天特卖工厂店
联想拯救者R7000P R7 6800H酷睿Y9000P游戏本2022款笔记本电脑,3598.0,3000-5000元,联想,游戏本,湖南,长沙,98.0,EINHORN的本本
戴影酷睿i71165G7四核轻薄办公笔记本电脑游戏设计手提电脑,2788.0,3000元以下,其他品牌,轻薄本,广东,深圳,100.0,戴影笔记本店
官翻机ROG玩家国度魔霸新锐2023魔霸7Plus 6Plus游戏笔记本电脑,5693.87,5000-7000元,玩家国度,游戏本,北京,未知,63.0,ROG玩家国度数码商城
HP惠普星14青春版12代英特尔酷睿i5笔记本轻薄疾速电脑学生办公,4799.0,3000-5000元,惠普,轻薄本,上海,未知,100.0,天猫超市
华为matebook 14 酷睿Ultra触控手写笔28K屏新品24款笔记本电脑,4935.0,3000-5000元,华为,其他类型,上海,未知,88.0,锦程正品数码店
ThinkPad P50 i7联想W540 W541 P51i7游戏图形显笔记本电脑工作站,1350.0,3000元以下,联想,游戏本,广东,广州,200.0,原装高端笔记本电脑批发分销中心
xiaomi小米笔记本电脑商务办公大学生i7吃鸡游戏本剪辑设计便携,898.0,3000元以下,小米,游戏本,浙江,杭州,600.0,芷卉数码科技
ThinkPad T15联想笔记本电脑156寸i7商务办公轻薄本E580独显T590,1788.0,3000元以下,联想,轻薄本,广东,广州,45.0,灵龙数码二手笔记本电脑
联想thinkpad笔记本电脑x220t旋转x230t手写笔触摸屏平板剪辑办公,840.0,3000元以下,联想,其他类型,广东,广州,44.0,金玉笔记本电脑
honor荣耀 MagicBook 14 NblLWFP9HN商务学生轻薄笔记本电脑i5,1699.0,3000元以下,荣耀,轻薄本,上海,未知,22.0,上海臣胜数码科技
Asus华硕 游戏笔记本 飞行堡垒8代9代FX506电脑i7天选 2学生3060,2180.0,3000元以下,华硕,游戏本,广东,深圳,100.0,品牌笔记本直销店
ThinkPad E 商务本X390X13 yoga380T490S联想笔记本电脑二合一T14,940.0,3000元以下,联想,二合一笔记本,广东,广州,200.0,铭兴数码二手笔记本电脑
Microsoft微软 surface pro 4pro7笔记本电脑办公二合一win1,914.87,3000元以下,微软,二合一笔记本,广东,佛山,900.0,正品微软1号
ReaimX新款笔记本电脑英特尔N95轻薄便携高清大学生超薄商务办公工作设计绘图高端电竞游戏官方正品独显,1312.22,3000元以下,其他品牌,轻薄本,浙江,杭州,100.0,国货甄选旗舰店
富士通Fujitsu H760 移动图形工作站 2G独显 15寸屏 笔记本电脑,1124.87,3000元以下,其他品牌,其他类型,广东,广州,81.0,黄陈数码
2024款机械革命蛟龙16k 蛟龙16pro独显40604070游戏本笔记本电脑,5498.1,5000-7000元,机械革命,游戏本,湖北,武汉,1000.0,武汉港边商贸游戏本
Huawei华为 MateBook X Pro 2023款超薄触屏笔记本电脑官网正品,2193.87,3000元以下,华为,其他类型,四川,成都,200.0,诚欣数码商城
Lenovo联想 拯救者Y7000 i5电竞学生游戏本 R7000吃鸡笔记本电脑,2343.87,3000元以下,联想,游戏本,湖南,长沙,58.0,华星数码电子科技
Lenovo联想 拯救者R9000PY9000P 2023款 学生电竞i7笔记本电脑,4270.0,3000-5000元,联想,其他类型,江西,南昌,500.0,品牌电脑商行top店
联想笔记本电脑IBM正品ThinkPad X250超薄便携12寸i5商务办公提i7,558.0,3000元以下,联想,其他类型,广东,广州,22.0,汇通数码科技商行
CHUWI驰为 笔记本 MiniBook X 105寸N100迷你笔记本电脑二合一,2329.0,3000元以下,其他品牌,二合一笔记本,广东,广州,18.0,ALLDOCUBE CHUWI直销店
Hasee神舟 战神TX9 i5游戏本RTX3070电竞笔记本电脑i7八核高刷屏,3190.0,3000-5000元,神舟,游戏本,广东,广州,100.0,新锐数码商城
Asus华硕笔记本电脑i7游戏本轻薄便携大学生商务办公设计i5高配,599.0,3000元以下,华硕,轻薄本,广东,广州,2000.0,盼芙商城
ThinkPad联想X260笔记本电脑12寸X250办公X240超薄I7商务x270280,699.0,3000元以下,联想,其他类型,广东,广州,100.0,信诚数码二手笔记本电脑
ThinkPad E14系列 i5联想E15 E490 E480 L15办公商务笔记本电脑,1600.0,3000元以下,联想,其他类型,上海,未知,100.0,青青笔记本电脑
小米RedmiBookPro1415锐龙12代轻薄办公学生2022红米笔记本电脑,2389.0,3000元以下,小米,轻薄本,北京,未知,100.0,海威数码科技品牌店
笔记本电脑X250联想Thinkpad超轻薄商务本12寸i7ibm学生办公手提,672.87,3000元以下,联想,轻薄本,广东,广州,17.0,腾云数码二手笔记本电脑
Lenovo联想笔记本电脑办公学生设计家用轻薄手提电脑i7大型游戏本,894.87,3000元以下,联想,轻薄本,广东,广州,100.0,铠龙数码
Lenovo联想拯救者Y9000P16寸3060大屏狂飙满血性能游戏笔记本电脑,3735.0,3000-5000元,联想,游戏本,湖北,武汉,26.0,锦诚笔记本商行
Huawei华为笔记本电脑i7游戏本商务办公轻薄本超薄大学生手提便携,496.0,3000元以下,华为,轻薄本,广东,广州,2.0,平和数码科技
Microsoft微软 Surface Laptop 3 i5 8G 256G 123 go笔记本电脑,1794.87,3000元以下,微软,其他类型,广东,深圳,68.0,surface千鸟数码
联想ThinkPad E16 AI PC 2024 Ultra5酷睿I5 13500H笔记本电脑I7,3898.0,3000-5000元,联想,其他类型,上海,未知,68.0,ThinkPad品牌店
全新库存机DELL戴尔i7笔记本电脑 7740 7730 7540 7720图形工作站,4250.0,3000-5000元,戴尔,其他类型,上海,未知,68.0,锦程项目管理中心
Asus华硕笔记本电脑轻薄便携学生办公用商务笔记本电脑女生超薄,1492.54,3000元以下,华硕,轻薄本,广东,广州,100.0,实干电脑
Microsoft微软 微软 surface Surface Go 23办公平板笔记本电脑,779.87,3000元以下,微软,其他类型,北京,未知,300.0,京中关
ThinkPad 联想 2023 24款X1 Carbon Nano T14P16VE14笔记本电脑,4999.0,3000-5000元,联想,其他类型,北京,未知,100.0,顺风电脑专赢店
Dell戴尔 i7 i7rugged 全坚固5420 5424三防7424汽修笔记本电脑,2569.0,3000元以下,戴尔,其他类型,广东,广州,100.0,麦可本本
DELL戴尔笔记本电脑i7大学生吃鸡游戏轻薄办公商务专业制图手提本,478.0,3000元以下,戴尔,轻薄本,广东,广州,20.0,齐锋电脑商城
Hasee神舟 战神系列 Z8游戏本 TX8酷睿i5i7 RTX40604050 独显,4999.0,3000-5000元,神舟,游戏本,浙江,杭州,22.0,神船大副
Apple苹果 Macbook 12 英寸笔记本电脑轻薄便携女生彩色办公设计,1814.87,3000元以下,苹果,轻薄本,北京,未知,29.0,信诚数码苹果电脑老店
Apple苹果笔记本电脑i7电竞吃鸡游戏商务办公大学生轻薄便携手提,780.0,3000元以下,苹果,轻薄本,广东,广州,35.0,奋明电脑商城
二手HP惠普 HP 173寸游戏本酷睿四程线独立显卡轻薄笔记本电脑,582.87,3000元以下,惠普,轻薄本,广东,广州,86.0,卓圣数码科技二手笔记本电脑
Hasee神舟 战神 Z8游戏本TX9电竞本Z7独显卡3060笔记本电脑3070,1102.0,3000元以下,神舟,游戏本,广东,广州,300.0,百创数码科技
DeeQ A7 A7 7寸金属触屏四核笔记本电脑商务办公学生轻薄便携本,1190.0,3000元以下,其他品牌,轻薄本,上海,未知,42.0,鸿泰电子科技
Huawei华为 MateBook D 14 轻薄便捷2K商务办公学习笔记本电脑,1699.0,3000元以下,华为,轻薄本,湖北,武汉,38.0,华艺数码商行
ThinkPad X1 Yoga 390超薄商务本联想380笔记本电脑13寸轻薄本i7,1350.0,3000元以下,联想,轻薄本,广东,广州,200.0,百星奇数码
惠普EliteBook 830 G8 G9 G10 840 850 860 G8 G9 G10 笔记本电脑,2868.0,3000元以下,惠普,其他类型,上海,未知,100.0,好好学习天天向上之成长
ASUS华硕高端商务办公i7触控折叠4K屏OLED屏EVO认证手写触摸屏360翻转旋转133英寸小屏幕超轻超薄笔记本变形,4893.9,3000-5000元,华硕,其他类型,四川,成都,200.0,华开云享电脑专营店
Xiaomi小米RedmiBook1416Pro轻薄Ultra57办公学生游戏笔记本电脑,2689.0,3000元以下,小米,轻薄本,江西,南昌,83.0,阳光数码科技品牌店
Dell戴尔 笔记本电脑 G3 超薄大型游戏本学生办公i7家用手提电脑,1152.87,3000元以下,戴尔,游戏本,广东,广州,100.0,汇盈数码
Huawei华为轻薄便携商务办公学生i7游戏本设计网课手提笔记本电脑,998.0,3000元以下,华为,轻薄本,广东,广州,10.0,戴尔电脑直销店
Lenovo联想 拯救者Y9000P2023 13代酷睿i9标压游戏本笔记本电脑,6399.0,5000-7000元,联想,游戏本,江西,南昌,21.0,南昌圣飞数码科技有限公司
Apple苹果136 寸MacBook Air M2苹果笔记本电脑 办公长续航便携,9999.0,9000-10000元,苹果,其他类型,上海,未知,100.0,天猫超市
Thinkpad X260 X270高分触摸IPS125寸便携商务办公联想笔记本电,628.0,3000元以下,联想,其他类型,北京,未知,30.0,中鼎数码二手笔记本电脑
Dell戴尔 i7 7490笔记本电脑7400触屏5400手提5491游戏7410促销,944.87,3000元以下,戴尔,游戏本,广东,广州,66.0,佳美润数码
松下笔记本电脑CFMX3MX4MX5便携轻薄12寸超级本触摸屏非联想华为,457.6,3000元以下,联想,轻薄本,广东,广州,51.0,星河 科技
8寸触摸屏7寸笔记本电脑迷你电脑口袋本手写掌上电脑商务办公炒股,1099.0,3000元以下,其他品牌,其他类型,广东,深圳,60.0,执与ZLOVE电脑官方店
机械师曙光1516Air AMD R78845HS 笔记本电脑,2000.0,3000元以下,机械革命,其他类型,广东,广州,28.0,机械师电脑店
HP惠普笔记本电脑大学生办公商务吃鸡电竞轻薄便携i7高配游戏本,699.0,3000元以下,惠普,轻薄本,浙江,杭州,7.0,芷卉数码科技
Honor荣耀 MagicBook V14轻薄本 25K 90Hz触控屏笔记本电脑,3899.0,3000-5000元,荣耀,轻薄本,上海,未知,78.0,红绿灯数码店
Apple苹果 MacBook Air超薄手提学生商务办公游戏13寸电脑笔记本,1070.87,3000元以下,苹果,游戏本,北京,未知,400.0,信诚数码苹果电脑老店
Xiaomi小米 笔记本 AIR12寸13寸Pro15寸商务学习游戏轻薄电脑,1302.0,3000元以下,小米,轻薄本,湖北,武汉,21.0,金诚优品笔记本电脑商行
松下笔记本电脑 SV8办公设计学习游戏商用汽修轻便迷你笔记本电脑,747.12,3000元以下,其他品牌,游戏本,广东,广州,34.0,伊能幸福
2021款苹果笔记本电脑macbook超薄air学生办公女生款pro办公手提,1593.87,3000元以下,苹果,其他类型,广东,深圳,200.0,伟盛电脑
ThinkPad X1 Carbon Yoga P14S T14S 2024６ 龙 X13 笔记本电脑,3080.0,3000-5000元,联想,其他类型,广东,深圳,200.0,深圳本本之家
Colorful七彩虹隐星P15同款P16将星4070独显16寸办公游戏笔记本,4999.0,3000-5000元,其他品牌,游戏本,湖北,武汉,7.0,武汉1916电脑铂金店
IBM 联想IThinkPad 笔记本电脑 X201 X201S 12寸 i5 i7上网本包邮,318.0,3000元以下,联想,其他类型,广东,广州,100.0,恒博科技2006
华硕灵耀14双屏2024 酷睿Ultra9 触摸AI超轻薄商务办公笔记本电脑,14398.0,10000-20000元,华硕,轻薄本,北京,未知,1.0,贝克汉虎 电竞商城
Lenovo联想 小新 310笔记本电脑14156英寸i7轻薄商务办公学生,868.0,3000元以下,联想,轻薄本,广东,广州,7.0,翼峰笔记本电脑批发
松下笔记本电脑酷睿i5轻薄便携超长待机商务办公学生学习全国包邮,474.05,3000元以下,其他品牌,轻薄本,广东,广州,45.0,馨蓉数码
HP惠普星14s青春版独显14寸i5办公家用轻薄本学生设计笔记本电脑,1532.87,3000元以下,惠普,轻薄本,湖北,武汉,200.0,飞跃正品数码商行
Lenovo联想小新Pro16锐龙版大屏办公设计酷睿游戏轻薄笔记本电脑,3598.0,3000-5000元,联想,轻薄本,湖北,武汉,20.0,笔记本电脑商店
Apple苹果笔记本电脑i7视网膜游戏办公设计air剪辑超薄学生手提本,592.0,3000元以下,苹果,游戏本,广东,广州,11.0,奋明电脑商城
联想ThinkBook14 新24款U7i5原装家用办公14寸22K屏笔记本电脑,3498.0,3000-5000元,联想,其他类型,山东,济南,20.0,恒兴电脑科技济南店
苹果笔记本电脑i7学生Macbook办公学生游戏Pro超薄i5轻薄便携Air,1050.0,3000元以下,苹果,轻薄本,江苏,苏州,700.0,上乘数码港
ThinkPad联想X13笔记本电脑X390轻薄X280商务办公12133寸手提本,1050.0,3000元以下,联想,轻薄本,广东,广州,100.0,信沃数码二手笔记本
Dell戴尔 灵越 INS14Pro 5420 5620轻薄22K金属全屏笔记本电脑,3100.0,3000-5000元,戴尔,轻薄本,安徽,合肥,3.0,瑜瑾信息
HP惠普 星系列 星14book2023轻薄商务游戏网课青春版笔记本电脑,1693.87,3000元以下,惠普,轻薄本,江西,南昌,200.0,国产之光笔记本产品经营店
Dell戴尔3511 3520 轻薄办公商务笔记本电脑15寸独显 i5 i7,2599.0,3000元以下,戴尔,轻薄本,广东,广州,69.0,文康数码笔记本
Huawei华为MateBook D14 NbDWFH9i5学习触屏办公新款笔记本电脑,1793.87,3000元以下,华为,其他类型,广东,广州,47.0,倾心科技品牌电脑
松下笔记本电脑 SX3 SX4 NX2 NX3高配轻薄便携学生商务办公游戏本,328.0,3000元以下,其他品牌,轻薄本,广东,广州,100.0,星河 科技
156英寸大屏轻薄款笔记本电脑 商务办公学习 大学生手提 畅玩LOL,499.0,3000元以下,其他品牌,轻薄本,广东,广州,9.0,小玟彦数码
ThinkPad X系列 X办公商务游戏本笔记本电脑X220X230X240X250T420,540.0,3000元以下,联想,游戏本,广东,广州,14.0,宏业电脑科技
Asus华硕天选4 156英寸 高性能游戏笔记本电脑 百亿补贴正品,6399.0,5000-7000元,华硕,游戏本,北京,未知,3000.0,笔记本官企业自销
机械革命极光Pro24极光15耀世15pro耀世16pro官方新品4060游戏本,4736.7,3000-5000元,机械革命,游戏本,山东,济南,53.0,梦匠电竞机械革命电脑店
Apple苹果 MacBook Pro13英寸笔记本电脑办公手提剪辑设计笔记本,965.87,3000元以下,苹果,其他类型,北京,未知,200.0,信诚数码苹果电脑老店
Razer雷蛇 笔记本电脑 灵刃15精英灵刃16灵刃18新品上市,22999.0,20000元以上,其他品牌,其他类型,四川,成都,7.0,刘航小兵全球购
全新库存 戴尔Latitude系列企业级高端商务笔记本电脑平板二合一,1800.0,3000元以下,戴尔,二合一笔记本,河南,洛阳,100.0,兆辉科技
Lenovo联想小新Pro14pro16轻薄设计学生便携办公游戏笔记本电脑,2848.0,3000元以下,联想,轻薄本,上海,未知,16.0,鑫鑫正品数码商行
笔记本电脑富士通15寸i5轻薄便携学生手提 游戏本 畅玩LOL CF DNF,393.87,3000元以下,其他品牌,轻薄本,广东,广州,37.0,卓美数码二手笔记本
ThinkPad联想T470s商务轻薄办公笔记本电脑14游戏i7,998.0,3000元以下,联想,轻薄本,广东,广州,36.0,广艺数码
ThinkPad T490s笔记本电脑超极本ibm14寸i7四核轻薄超薄便携手提,1388.0,3000元以下,联想,轻薄本,浙江,杭州,8.0,笔记本电脑专店
Thinkpad W530四核I7独显图形工作站520游戏本笔记本电脑T430联想,608.0,3000元以下,联想,游戏本,广东,广州,25.0,高品格得店
Xiaomi小米 小米Pro笔记本RedmiBookPro1415轻薄学生商务游戏本,1893.87,3000元以下,小米,轻薄本,湖北,武汉,54.0,笔记本数码商行
21款联想拯救者R7000PY7000P电脑英寸酷睿i7游戏笔记本,3700.0,3000-5000元,联想,游戏本,安徽,合肥,59.0,华中无双数码
ThinkPad X13 Gen3酷睿I71260P轻薄便携商务X390联想笔记本电脑,1450.0,3000元以下,联想,轻薄本,湖南,长沙,94.0,EINHORN的本本
Lenovo联想笔记本电脑酷睿学生i5i7高配轻薄办公家用游戏本手提,992.87,3000元以下,联想,轻薄本,广东,广州,62.0,晨晨笔记本电脑
Asus华硕天选5pro英特尔14代i9学生办公设计4060游戏笔记本电脑,5999.0,5000-7000元,华硕,游戏本,广东,广州,37.0,华硕正品商城
联想ThinkPad笔记本电脑 L440 L450 L460 L470学生办公上网游戏本,550.0,3000元以下,联想,游戏本,北京,未知,9.0,恒丰电器店二手笔记本电脑
Thinkpad T430商务I7独显四核游戏本手提S笔记本电脑530 14寸540P,579.0,3000元以下,联想,游戏本,广东,广州,16.0,高品格得店
ROG幻X 2024 4060 幻13 华硕二合一平板游戏本4090显卡笔记本电脑,4949.0,3000-5000元,华硕,游戏本,北京,未知,200.0,华硕天选自营店
Microsoft微软 Surface Laptop 5 135英寸12代酷睿i5 触控屏微软新款笔记本电脑,7982.87,7000-9000元,微软,其他类型,江苏,苏州,7.0,微软中国官方旗舰店
HP惠普 星15Plus 13代酷睿i5i7轻薄便携学生学习网课女生商务办公游戏156英寸笔记本电脑旗舰官方官网正品,2984.0,3000元以下,惠普,轻薄本,山东,青岛,600.0,惠普酷灏专卖店
HP惠普笔记本电脑高配办公商务i7吃鸡电竞游戏本轻薄便携大学生,699.0,3000元以下,惠普,轻薄本,广东,广州,35.0,奋明电脑商城
Lenovo联想 拯救者 拯救者 Y7000P 2021款 学生游戏笔记本电脑,3650.0,3000-5000元,联想,游戏本,江西,南昌,24.0,笔记本优品电脑商行
Xiaomi小米 RedmiBook Pro1415轻薄学习锐龙游戏红米笔记本电脑,2750.0,3000元以下,小米,轻薄本,广东,深圳,16.0,叮咚数码2018
Dell戴尔 Latitude 7270 E7270 7280笔记本电脑125寸双核高分,650.0,3000元以下,戴尔,其他类型,广东,广州,5.0,金本电脑
Huawei华为笔记本电脑i7轻薄学生电竞游戏本超薄商务办公便携手提,568.0,3000元以下,华为,轻薄本,广东,广州,24.0,戴尔电脑直销店
Hasee 神舟战神T8D93T8 Plus E94T8Pro D64 RTX4070游戏笔记本,5881.0,5000-7000元,神舟,游戏本,北京,未知,77.0,神舟小吴店
ThinkPad X1 Carbon联想X1 yoga 2016笔记本电脑14寸轻薄商务办公,1050.0,3000元以下,联想,轻薄本,广东,广州,100.0,信沃数码二手笔记本
ASUS华硕i5酷睿i7制图绘图数字小键盘轻薄本156英寸PS剪辑商务财务办公设计学生编程专用CAD手提笔记本电脑,3598.8,3000-5000元,华硕,轻薄本,四川,成都,87.0,华开云享电脑专营店
松下笔记本电脑16G内存14寸CFLX5轻薄500G固态LX4超长待机i5汽修,544.87,3000元以下,其他品牌,轻薄本,广东,广州,11.0,二本万利 数码港
ROG幻16air 幻14air酷睿Ultra9星云屏4060轻薄商务设计笔记本电脑,9593.87,9000-10000元,玩家国度,轻薄本,北京,未知,18.0,ROG玩家国度数码商城
机械革命耀世旷世16Super 14代i9 游戏本4080液金水冷笔记本电脑,15199.0,10000-20000元,机械革命,游戏本,河南,郑州,5.0,机械革命华中店
2024新款联想 ThinkPad X1 Yoga 英特尔酷睿Ultra7 14英寸翻转触控屏笔记本电脑轻薄商务办公官方正品865,10299.0,10000-20000元,联想,轻薄本,福建,厦门,1.0,苏宁易购官方旗舰店
酷睿i7英特尔笔记本电脑轻薄便携超薄商务办公游戏设计剪辑全能本,1582.87,3000元以下,其他品牌,轻薄本,广东,深圳,1000.0,天宇网购商城
门店同售Apple 15 英寸 MacBook Air M3 芯片 配备 8 核中央处理器 10 核图形处理器笔记本电脑,9799.0,9000-10000元,苹果,其他类型,北京,未知,22.0,天猫校园教育官方旗舰店
ROG幻x二合一幻13华硕2024新款玩家国度4090轻薄设计笔记本电脑,4949.0,3000-5000元,华硕,轻薄本,上海,未知,60.0,上海电竞自营店
12期免息ROG枪神8Plus i914900HX 星云屏学生吃鸡电竞游戏本笔记本电脑RTX40604070独显玩家国度,13369.0,10000-20000元,玩家国度,游戏本,广东,广州,11.0,ROG玩家国度金硕专卖店
新品上市ROG枪神8 Plus 超竞版全新14代酷睿i9处理器 18英寸 星云屏 游戏笔记本电脑 114,19999.0,10000-20000元,玩家国度,游戏本,江苏,南京,4.0,苏宁易购官方旗舰店
ROG玩家国度 枪神7Plus超竞版2023 13代i9 4080电竞笔记本官翻机,10499.0,10000-20000元,玩家国度,其他类型,江苏,南京,37.0,戴尔官翻微星折扣店1
24期免息分期联想拯救者Y9000P 2023款13代酷睿i9标压游戏本笔记本电脑RTX4060显卡16英寸大屏电竞本电脑,11599.0,10000-20000元,联想,游戏本,天津,未知,100.0,联想通恒本厚专卖店
x260i56200六代联想Thinkpad笔记本电脑修车软件视频剪辑pscad,580.0,3000元以下,联想,其他类型,上海,未知,50.0,知金电脑
LG gram pro16英寸AI轻薄本evo Ultra7笔记本电脑2024新款RTX3050高性能超轻薄本高端游戏本设计师本女学生本,11793.12,10000-20000元,其他品牌,轻薄本,北京,未知,15.0,LG天恩志兴专卖店
ReaimX新款笔记本电脑英特尔N95轻薄便携大学生超薄商务办公工作设计绘图高端电竞游戏官方正品独显手提7,1297.8,3000元以下,其他品牌,轻薄本,浙江,杭州,34.0,国货甄选旗舰店
机械革命耀世16Super 酷睿14代i9 RTX4080满血独显游戏笔记本电脑,12382.87,10000-20000元,机械革命,游戏本,浙江,杭州,7.0,华东Gamecomputer铂金店
Apple苹果 MacBook Air 13英寸笔记本电脑M1芯片学生学习办公,6929.0,5000-7000元,苹果,其他类型,上海,未知,100.0,富源甄选优品
新品现货联想小新Pro14小新Pro16锐龙R7 8845H AI超能本 1416英寸轻薄本笔记本电脑 学生学习商务办公,5398.0,5000-7000元,联想,轻薄本,江苏,南京,37.0,联想严选专卖店
Razer雷蛇 笔记本电脑 灵刃15精英16 18RTX4060 70 80 90 14锐龙,12882.87,10000-20000元,其他品牌,其他类型,上海,未知,94.0,雷蛇电竞馆
AI PC新品联想ThinkPad ThinkBook1416英特尔Evo酷睿Ultra标压固态游戏轻薄学生笔记本电脑旗舰正品,5999.0,5000-7000元,联想,轻薄本,江苏,无锡,43.0,thinkpad中硕专卖店
ROG幻系列 幻14幻15全能轻薄本手提设计师办公学生游戏笔记本电脑玩家国度官方,7999.0,7000-9000元,玩家国度,轻薄本,浙江,宁波,41.0,ASUS华硕旗舰店
Apple苹果MacBook Air 13英寸笔记本电脑M2芯片,7999.0,7000-9000元,苹果,其他类型,上海,未知,100.0,极客优选正品店
12期免息联想Thinkpad X1 Carbon 2024 英特尔酷睿Ultra7 14英寸轻薄便携商务旗舰办公手提IBM笔记本电脑,7999.0,7000-9000元,联想,轻薄本,福建,厦门,25.0,thinkpad恒瀚专卖店
